Comment,Designator,Footprint,LCSC,Quantity
0.01u,"C2,C3",C_0603_1608Metric,C100042,2
0.1u,"C1,C16,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C4",C_0603_1608Metric,C14663,20
10k,"R19,R20",R_0603_1608Metric,C98220,2
10u,C15,C_0805_2012Metric,C440198,1
300,R10,R_0603_1608Metric,C2930092,1
5.1k,"R1,R2",R_0603_1608Metric,C2907044,2
AHT20,U1,PSON100P300X300X110-6N,C2757850,1
Conn_01x08_Pin,"J1,J11",JUSHUO_AFA07-S08FCA-00_1x8-1MP_P1.0mm_Horizontal,C262714,2
Conn_01x12_Pin,J5,JUSHUO_AFA07-S12FCA-00_1x12-1MP_P1.0mm_Horizontal,C262718,1
MCP23017_ML,U9,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,C629439,1
Micro_SD_Card,J2,SD_Hirose_DM1AA_SF_PEJ82,C506790,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186,1
