Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,71.1,-48.625,-90.0,top
C15,10u,C_0805_2012Metric,40.6,-74.65,-90.0,top
C16,0.1u,C_0603_1608Metric,38.4,-74.525,90.0,top
C2,0.01u,C_0603_1608Metric,62.0,-41.825,90.0,bottom
C20,0.1u,C_0603_1608Metric,28.6,-35.1,180.0,top
C21,0.1u,C_0603_1608Metric,73.4,-67.825,-90.0,top
C22,0.1u,C_0603_1608Metric,57.3,-58.375,90.0,top
C23,0.1u,C_0603_1608Metric,73.4,-55.875,-90.0,top
C24,0.1u,C_0603_1608Metric,73.4,-43.875,-90.0,top
C25,0.1u,C_0603_1608Metric,73.4,-31.875,-90.0,top
C26,0.1u,C_0603_1608Metric,85.4,-31.875,-90.0,top
C27,0.1u,C_0603_1608Metric,85.4,-43.825,-90.0,top
C28,0.1u,C_0603_1608Metric,97.9,-43.875,-90.0,top
C29,0.1u,C_0603_1608Metric,97.4,-55.875,-90.0,top
C3,0.01u,C_0603_1608Metric,46.475,-61.5,180.0,bottom
C30,0.1u,C_0603_1608Metric,97.4,-31.825,-90.0,top
C31,0.1u,C_0603_1608Metric,97.4,-19.875,-90.0,top
C32,0.1u,C_0603_1608Metric,73.4,-19.875,-90.0,top
C33,0.1u,C_0603_1608Metric,85.4,-19.875,-90.0,top
C34,0.1u,C_0603_1608Metric,85.4,-55.875,-90.0,top
C35,0.1u,C_0603_1608Metric,85.4,-67.875,-90.0,top
C36,0.1u,C_0603_1608Metric,97.9,-67.6,-90.0,top
C4,0.1u,C_0603_1608Metric,46.825,-54.1,180.0,bottom
J1,Conn_01x08_Pin,JUSHUO_AFA07-S08FCA-00_1x8-1MP_P1.0mm_Horizontal,95.3,-81.71,0.0,bottom
J11,Conn_01x08_Pin,JUSHUO_AFA07-S08FCA-00_1x8-1MP_P1.0mm_Horizontal,29.15,-73.785,180.0,top
J2,Micro_SD_Card,SD_Hirose_DM1AA_SF_PEJ82,28.1,-95.5,90.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,74.094081,-97.036073,90.0,top
J5,Conn_01x12_Pin,JUSHUO_AFA07-S12FCA-00_1x12-1MP_P1.0mm_Horizontal,61.794081,-97.216073,-90.0,top
R1,5.1k,R_0603_1608Metric,68.279081,-98.816073,180.0,top
R10,300,R_0603_1608Metric,69.1,-48.725,90.0,top
R19,10k,R_0603_1608Metric,35.525,-78.8,0.0,top
R2,5.1k,R_0603_1608Metric,68.179081,-95.616073,180.0,top
R20,10k,R_0603_1608Metric,52.175,-66.1,0.0,top
U1,AHT20,PSON100P300X300X110-6N,70.15,-43.85,90.0,top
U9,MCP23017_ML,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,57.98,-64.12,-90.0,top
